depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
87.53,1866.8,-5.3,4.42
87.64,1869.6,-5.2,4.85
87.74,1872.2,-5.75,3.8
87.84,1874.8,-4.93,4.81
87.95,1877.7,-6.01,3.55
88.05,1880.3,-5.15,4.42
88.16,1883.2,-5.31,3.97
88.26,1885.8,-4.97,4.59
88.36,1888.4,-5.17,4.32
88.47,1891.2,-5.71,2.32
88.57,1893.8,-5.09,4.21
88.68,1896.7,-5.26,4.12
88.78,1899.3,-4.63,4.76
88.88,1901.9,-5.05,4.35
88.99,1904.7,-4.92,4.54
89.09,1907.3,-5.22,4.28
89.2,1910.2,-5.11,4.01
89.3,1912.8,-5.5,4.35
89.4,1915.4,-5.77,4.06
89.53,1918.8,-5.72,4.13
89.67,1922.4,-5.75,4.38
89.81,1926.1,-5.58,4.41
89.95,1929.7,-6.01,4.13
90.09,1933.3,-5.32,4.4
90.23,1937,-5.34,4.33
90.37,1940.6,-5.19,4.8
90.51,1944.3,-5.12,4.74
90.62,1947.1,-5.34,4.33
90.72,1949.7,-5.36,4.14
90.82,1952.3,-5.27,4.52
90.91,1954.7,-5.2,4.56
91.01,1957.3,-5.14,4.66
91.1,1959.6,-5.12,4.64
91.2,1962.2,-4.96,4.95
91.3,1964.8,-4.89,4.88
91.39,1967.1,-4.76,5.15
91.49,1969.7,-5.35,4.86
91.58,1972.1,-5.31,4.73
91.68,1974.7,-5.23,4.8
91.78,1977.3,-5.31,4.64
91.87,1979.6,-5.02,5.04
91.97,1982.2,-5.26,4.8
92.06,1984.6,-5.31,4.44
92.16,1987.2,-5.15,5.12
92.26,1989.8,-5.17,4.81
92.35,1992.1,-6.53,3.03
92.45,1994.7,-5.08,4.73
92.54,1997,-5.09,4.52
92.64,1999.6,-4.56,5.01
92.74,2002.2,-4.89,4.72
92.83,2004.6,-3.89,4.6
92.93,2007.2,-4.97,4.85
93.02,2009.5,-4.75,4.96
93.12,2012.1,-4.66,5.05
93.22,2014.7,-4.88,4.91
93.31,2017.1,-5.01,4.74
93.41,2019.7,-5.02,4.78
93.51,2022.3,-5.14,4.65
93.63,2025.4,-5.21,4.92
93.74,2028.2,-5.12,4.48
93.85,2031.1,-5.51,3.64
93.97,2034.2,-6.08,2.8
94.08,2037.1,-5.38,4.02
94.2,2040.2,-6.03,3.35
94.31,2043.1,-5.83,3.68
94.42,2045.9,-6.17,3.47
94.54,2049,-5.68,4.24
94.65,2051.9,-6.64,3.17
94.77,2055,-6.58,3.33
94.88,2057.9,-7.21,2.79
95,2061,-7.24,2.57
95.11,2062.1,-6.54,3.78
95.23,2063.3,-6.26,3.94
95.34,2064.4,-5.47,5.07
95.46,2065.6,-5.04,5.44
95.57,2066.7,-5.05,5.28
95.69,2067.9,-5.25,5.12
95.8,2069,-5.39,4.64
95.92,2070.2,-4.99,5.42
